timeframe,player_id,x,y,vx,vy
62,3,16.77126225,7.448148378,-0.57498442,-0.584840629
63,3,16.35929289,7.120181522,-0.41196936,-0.327966856
64,3,16.23995792,6.957173504,-0.11933497,-0.163008018
65,3,16.14313795,6.813333381,-0.09681997,-0.143840123
66,3,16.07392427,6.667150075,-0.06921368,-0.146183306
67,3,15.97770828,6.490679783,-0.09621599,-0.176470292
68,3,15.91921279,6.401151183,-0.05849549,-0.0895286
69,3,15.86313805,6.430844429,-0.05607474,0.029693246
70,3,15.81671113,6.376215613,-0.04642692,-0.054628816
71,3,15.45904365,5.888099803,-0.35766748,-0.48811581
72,3,15.30980731,5.654723168,-0.14923634,-0.233376635
73,3,15.24826936,5.520419384,-0.06153795,-0.134303784
74,3,15.23726114,5.432790488,-0.01100822,-0.087628896
75,3,15.2449355,5.364285779,0.00767436,-0.068504709
76,3,15.26155999,5.311328249,0.01662449,-0.05295753
77,3,15.33670694,5.362003,0.07514695,0.050674751
78,3,15.42181649,5.396844664,0.08510955,0.034841664
79,3,15.51071414,5.42231253,0.08889765,0.025467866
80,3,16.11351596,6.078810697,0.60280182,0.656498167
81,3,16.39561732,6.325292603,0.28210136,0.246481906
82,3,16.52638867,6.379210118,0.13077135,0.053917515
83,3,16.52792056,6.176934472,0.00153189,-0.202275646
84,3,16.46996808,5.994486427,-0.05795248,-0.182448045
85,3,16.37640883,5.848999713,-0.09355925,-0.145486714
86,3,16.25857665,5.755714775,-0.11783218,-0.093284938
87,3,16.1240097,5.70341083,-0.13456695,-0.052303945
88,3,15.98399428,5.680334378,-0.14001542,-0.023076452
89,3,15.84575679,5.68094687,-0.13823749,0.000612492
90,3,15.71564423,5.707039066,-0.13011256,0.026092196
91,3,15.61603179,5.738027662,-0.09961244,0.030988596
92,3,15.62428683,5.73857402,0.00825504,0.000546358
93,3,15.56923332,5.803059717,-0.05505351,0.064485697
94,3,15.67776029,5.798431542,0.10852697,-0.004628175
95,3,15.51292496,5.937094607,-0.16483533,0.138663065
96,3,15.26738591,6.115418125,-0.24553905,0.178323518
97,3,15.00465745,6.329131856,-0.26272846,0.213713731
98,3,14.73737622,6.553360528,-0.26728123,0.224228672
99,3,14.47254614,6.787089574,-0.26483008,0.233729046
100,3,14.16923757,7.12691055,-0.30330857,0.339820976
101,3,13.85197995,7.517721707,-0.31725762,0.390811157
102,3,13.5414566,7.901258251,-0.31052335,0.383536544
103,3,13.30528306,8.901258251,-0.23617354,1
104,3,12.66974008,9.901258251,-0.63554298,1
105,3,12.10608787,10.84061764,-0.56365221,0.939359389
106,3,11.53650197,11.53417268,-0.5695859,0.69355504
107,3,11.00421092,11.97655341,-0.53229105,0.44238073
108,3,10.50099274,12.2581945,-0.50321818,0.28164109
109,3,10.02067978,12.42594203,-0.48031296,0.16774753
110,3,11.02067978,13.42594203,1,1
111,3,12.02067978,14.09321732,1,0.66727529
112,3,12.66262427,14.35248432,0.64194449,0.259267
113,3,12.93802096,14.45572126,0.27539669,0.10323694
114,3,13.05266208,14.58103156,0.11464112,0.1253103
115,3,13.05565991,14.80389038,0.00299783,0.22285882
116,3,13.09013711,14.98943407,0.0344772,0.18554369
117,3,13.10273702,15.21704915,0.01259991,0.22761508
118,3,12.10273702,14.21704915,-1,-1
119,3,11.10273702,13.27540159,-1,-0.94164756
1,4,29,29,0,0
2,4,29.4674615,28.75759856,0.4674615,-0.24240144
3,4,28.4674615,27.75759856,-1,-1
4,4,27.4674615,26.75759856,-1,-1
5,4,26.4674615,26.1588882,-1,-0.59871036
6,4,25.4674615,25.99816515,-1,-0.16072305
7,4,24.4674615,26.00260442,-1,0.00443927
8,4,23.4674615,25.96374843,-1,-0.03885599
9,4,22.4674615,25.81460986,-1,-0.14913857
10,4,21.4674615,25.62811807,-1,-0.18649179
11,4,20.4674615,25.43269102,-1,-0.19542705
12,4,19.57682291,25.26084416,-0.89063859,-0.17184686
13,4,18.98342899,25.10923074,-0.59339392,-0.15161342
14,4,18.59419967,24.99152234,-0.38922932,-0.1177084
15,4,18.2714407,24.85911253,-0.32275897,-0.13240981
16,4,17.99153953,24.72460045,-0.27990117,-0.13451208
17,4,17.71531439,24.56831171,-0.27622514,-0.15628874
18,4,17.43318356,24.35897668,-0.28213083,-0.20933503
19,4,17.22462658,24.62778759,-0.20855698,0.26881091
20,4,16.94531871,24.7222869,-0.27930787,0.09449931
21,4,16.64631166,24.78509177,-0.29900705,0.06280487
22,4,16.45783632,24.82753595,-0.18847534,0.04244418
23,4,16.20538076,24.87136023,-0.25245556,0.04382428
24,4,15.91309562,24.91251535,-0.29228514,0.04115512
25,4,15.60005351,24.94919086,-0.31304211,0.03667551
26,4,15.26901351,24.97965058,-0.33104,0.03045972
27,4,14.90866285,24.95073105,-0.36035066,-0.02891953
28,4,14.54455366,24.81946007,-0.36410919,-0.13127098
29,4,14.22401251,24.65225351,-0.32054115,-0.16720656
30,4,14.0127738,24.10338885,-0.21123871,-0.54886466
31,4,13.86492107,23.79747524,-0.14785273,-0.30591361
32,4,13.80762027,23.61907402,-0.0573008,-0.17840122
33,4,13.76772583,23.51708253,-0.03989444,-0.10199149
34,4,13.7313704,23.46243789,-0.03635543,-0.05464464
35,4,13.7448933,23.41642377,0.0135229,-0.04601412
36,4,13.79148649,23.40085561,0.04659319,-0.01556816
37,4,13.8547403,23.41626599,0.06325381,0.01541038
38,4,13.94811205,23.45310776,0.09337175,0.03684177
39,4,14.02099169,23.49690028,0.07287964,0.04379252
40,4,14.10915234,23.51465046,0.08816065,0.01775018
41,4,14.21732027,23.52302414,0.10816793,0.00837368
42,4,14.34159665,23.49810123,0.12427638,-0.02492291
43,4,14.47617448,23.44653698,0.13457783,-0.05156425
44,4,14.62243923,23.35304122,0.14626475,-0.09349576
45,4,14.77860954,23.18794096,0.15617031,-0.16510026
46,4,14.95586479,22.96647518,0.17725525,-0.22146578
47,4,15.08969083,22.79276567,0.13382604,-0.17370951
48,4,15.19682635,22.59110907,0.10713552,-0.2016566
49,4,15.23402114,22.39266311,0.03719479,-0.19844596
50,4,15.26421762,22.21094399,0.03019648,-0.18171912
51,4,15.25541089,22.03681535,-0.00880673,-0.17412864
52,4,15.23077949,21.82533718,-0.0246314,-0.21147817
53,4,15.20720459,21.8787914,-0.0235749,0.05345422
54,4,15.19909232,21.88206504,-0.00811227,0.00327364
55,4,15.18318726,21.87637715,-0.01590506,-0.00568789
56,4,15.12358656,21.47938148,-0.0596007,-0.39699567
57,4,14.99343519,21.27663198,-0.13015137,-0.2027495
58,4,14.82061115,21.18887966,-0.17282404,-0.08775232
59,4,14.62387652,21.2569446,-0.19673463,0.06806494
60,4,14.33791687,21.58635656,-0.28595965,0.32941196
61,4,14.02410473,22.1648418,-0.31381214,0.57848524
62,4,13.79683934,22.6831743,-0.22726539,0.5183325
63,4,13.68391476,23.07189651,-0.11292458,0.38872221
64,4,13.61707733,23.3342087,-0.06683743,0.26231219
65,4,13.56423565,23.50451534,-0.05284168,0.17030664
66,4,13.47945826,23.60708601,-0.08477739,0.10257067
67,4,13.3628461,23.61203931,-0.11661216,0.0049533
68,4,13.16415206,23.54340683,-0.19869404,-0.06863248
69,4,12.909739,23.4477228,-0.25441306,-0.09568403
70,4,12.53938709,23.42404529,-0.37035191,-0.02367751
71,4,11.99298696,23.47006628,-0.54640013,0.04602099
72,4,11.43108771,23.49056745,-0.56189925,0.02050117
73,4,10.91348524,23.43580462,-0.51760247,-0.05476283
74,4,10.4413367,23.34749933,-0.47214854,-0.08830529
75,4,10.02855146,23.22363708,-0.41278524,-0.12386225
76,4,9.663313856,23.0571974,-0.365237604,-0.16643968
77,4,9.358834193,22.8348502,-0.304479663,-0.2223472
78,4,9.104841858,22.55122136,-0.253992335,-0.28362884
79,4,8.895699104,22.22847005,-0.209142754,-0.32275131
80,4,8.864483865,22.07327768,-0.031215239,-0.15519237
81,4,8.904798151,22.03126386,0.040314286,-0.04201382
82,4,8.968816532,21.9849708,0.064018381,-0.04629306
83,4,8.931986318,21.95994451,-0.036830214,-0.02502629
84,4,8.948424797,21.9455099,0.016438479,-0.01443461
85,4,8.980072563,21.93668617,0.031647766,-0.00882373
86,4,9.03214751,21.92089908,0.052074947,-0.01578709
87,4,9.085311903,21.9029072,0.053164393,-0.01799188
88,4,9.134701601,21.88332577,0.049389698,-0.01958143
89,4,9.176899717,21.84828284,0.042198116,-0.03504293
90,4,9.221922799,21.82072569,0.045023082,-0.02755715
91,4,9.23204804,21.76131375,0.010125241,-0.05941194
92,4,9.290690843,21.61747746,0.058642803,-0.14383629
93,4,9.266665248,21.59246665,-0.024025595,-0.02501081
94,4,9.40224065,21.38457234,0.135575402,-0.20789431
95,4,9.444435764,21.28499583,0.042195114,-0.09957651
96,4,9.485446996,21.18549359,0.041011232,-0.09950224
97,4,9.54026144,21.15408052,0.054814444,-0.03141307
98,4,9.611391852,21.16586694,0.071130412,0.01178642
99,4,9.647286243,21.20211167,0.035894391,0.03624473
100,4,10.17127701,21.3054211,0.523990767,0.10330943
101,4,10.39927519,21.46837221,0.22799818,0.16295111
102,4,10.48879638,21.69334415,0.08952119,0.22497194
103,4,10.60729937,21.67663525,0.11850299,-0.0167089
104,4,10.68656708,21.64824163,0.07926771,-0.02839362
105,4,10.59431911,21.61932516,-0.09224797,-0.02891647
106,4,10.43320487,21.44436919,-0.16111424,-0.17495597
107,4,10.2498537,21.2616605,-0.18335117,-0.18270869
108,4,10.07598782,21.18315536,-0.17386588,-0.07850514
109,4,9.943881211,21.01707128,-0.132106609,-0.16608408
110,4,9.776218631,21.08597368,-0.16766258,0.0689024
111,4,9.563408856,21.26881996,-0.212809775,0.18284628
112,4,9.344732171,21.36803806,-0.218676685,0.0992181
113,4,9.10806367,21.51106518,-0.236668501,0.14302712
114,4,8.86685045,21.66390064,-0.24121322,0.15283546
115,4,8.704692462,21.94941287,-0.162157988,0.28551223
116,4,8.615390807,22.12807691,-0.089301655,0.17866404
117,4,8.476417862,22.40586936,-0.138972945,0.27779245
118,4,8.277390977,22.8824307,-0.199026885,0.47656134
119,4,8.100797279,23.69963209,-0.176593698,0.81720139
1,5,32,28,0,0
2,5,31,27.02177773,-1,-0.97822227
3,5,30,26.02177773,-1,-1
4,5,29,25.02177773,-1,-1
5,5,28,24.02177773,-1,-1
6,5,27,23.02177773,-1,-1
7,5,26,22.02177773,-1,-1
8,5,25,21.02645583,-1,-0.9953219
9,5,24.06629144,20.23042928,-0.93370856,-0.79602655
10,5,23.45978484,19.69585038,-0.6065066,-0.5345789
11,5,23.1164412,19.31789952,-0.34334364,-0.37795086
12,5,22.94966965,19.09924579,-0.16677155,-0.21865373
13,5,22.80856152,18.9981538,-0.14110813,-0.10109199
14,5,22.67952428,19.00777266,-0.12903724,0.00961886
15,5,22.55726833,19.07642318,-0.12225595,0.06865052
16,5,22.44006637,19.19775657,-0.11720196,0.12133339
17,5,22.3461073,19.35035705,-0.09395907,0.15260048
18,5,22.31491729,19.53634027,-0.03119001,0.18598322
19,5,22.60048605,20.13413659,0.28556876,0.59779632
20,5,22.70517152,20.65666439,0.10468547,0.5225278
21,5,22.67544669,21.10216612,-0.02972483,0.44550173
22,5,22.58890208,21.35338907,-0.08654461,0.25122295
23,5,22.41784555,21.4916624,-0.17105653,0.13827333
24,5,22.18760354,21.59587347,-0.23024201,0.10421107
25,5,21.92710835,21.6926806,-0.26049519,0.09680713
26,5,21.63277358,21.81431613,-0.29433477,0.12163553
27,5,21.28012712,22.27319816,-0.35264646,0.45888203
28,5,20.77816012,22.99830856,-0.501967,0.7251104
29,5,20.19157942,23.47316306,-0.5865807,0.4748545
30,5,19.64374875,23.4420828,-0.54783067,-0.03108026
31,5,19.30267951,23.51447726,-0.34106924,0.07239446
32,5,19.12493563,23.67478532,-0.17774388,0.16030806
33,5,19.00364005,23.80794548,-0.12129558,0.13316016
34,5,18.92509342,23.94755498,-0.07854663,0.1396095
